Commit ID,Commit Hash,Commit Author,Commit Message,Release Version,Release Date,Release Notes,Successful Builds per Day (%),Code Coverage (%),Open Issues,Time to Resolve Issues (Days),Merge Conflicts,Pipeline Success Rate (%),Active Contributors,Average Time to Merge Pull Request (Days),Closed Milestones,Response Time for Code Reviews (Hours),Code Complexity (out of 10),Code Duplication (%),Code Smells,Security Vulnerabilities (Critical),Security Vulnerabilities (Moderate),Test Coverage (%),Pull Request ID,Pull Request Title,Reviewer,Review Comments,Review Duration (Days),Pull Request State,Time from Ready to Merge (Hours),Comments Follow-up Time (Hours),Time Spent in Ready (Days),Time Spent in In Review (Days),Time Spent in Merged (Hours),Pull Request Rate (Per Day),Pull Request Duration (Days),Merge Ratio (%),Number of In-Progress Pull Requests,Days Worked between Pull and Merge Confirmation,Review Time (Days),Code Churn,Rating
1,98sdfh23,John Doe,Initial project setup,1.0,2023-01-01,Initial release,95,0.85,2,5,0,98,5,2,1,6,4.5,5,8,0,0,90,1,Implement user authentication,Alice,2,1,3,Open,24,12,2,1,2,5,0.9,1,2,1
2,09dfls67,Jane Smith,Add user registration feature,1.1,2023-01-05,Added user registration feature,92,0.78,1,3,0,96,6,3,2,8,4.2,6,9,0,0,87,2,Implement account creation,Mark,3,2,2,Open,48,24,3,2,3,7,0.8,2,1,2
3,76rtyu45,David Johnson,Implement login functionality,1.1,2023-01-06,Added login feature and session management,93,0.82,0,0,0,99,7,2,3,4,4.8,4,7,0,0,92,3,Fix user registration bug,John,1,0,1,Merged,24,6,2,0,2,4,0.6,3,0,1
4,23klqwe89,Alice Brown,Update transaction processing logic,1.2,2023-01-10,Improved transaction processing efficiency,94,0.81,3,6,1,97,6,1,3,6,4.6,5,9,1,0,89,4,Implement balance calculation,David,4,3,4,Closed,72,48,4,3,4,8,0.7,2,3,3
5,67poiuy76,Mark Wilson,Fix UI alignment issues,1.2,2023-01-12,Resolved UI alignment issues,96,0.88,0,0,0,100,5,3,2,3,4.4,6,8,0,0,93,5,Update transaction display format,Jane,2,1,2,Merged,36,12,3,1,2,6,0.9,1,1,2
6,34xcvb09,Eva Lee,Add transaction history feature,1.3,2023-01-15,Added transaction history functionality,91,0.76,2,4,1,94,7,2,2,5,4.2,7,9,0,0,86,6,Implement transaction filtering,John,3,2,3,Merged,48,24,2,2,2,5,0.8,2,1,2
7,98mnbv34,Robert Clark,Optimize database queries,1.4,2023-01-20,Optimized database query performance,97,0.84,1,2,0,99,6,3,2,7,4.7,4,7,0,0,91,7,Refactor transaction retrieval code,David,2,1,2,Merged,24,6,2,1,2,5,0.9,1,0,3
8,65zxcv78,Emily Turner,Fix account balance calculation bug,1.4,2023-01-22,Resolved account balance calculation issue,94,0.82,0,0,0,97,5,2,2,4,4.5,5,8,0,0,88,8,Implement transaction categorization,Alice,3,2,3,Merged,48,24,3,2,3,7,0.8,2,1,1
9,09lkjh76,Michael Davis,Implement funds transfer feature,1.5,2023-01-25,Added funds transfer functionality,92,0.78,3,5,1,95,7,1,3,6,4.3,6,9,1,0,85,9,Add beneficiary validation,Mark,4,3,4,Open,72,48,4,3,4,8,0.7,2,3,2
10,12vcxz34,Sarah Miller,Improve error handling,1.5,2023-01-28,Enhanced error handling and logging,96,0.86,0,0,0,98,6,3,2,3,4.6,5,8,0,0,90,10,Fix transaction transfer bug,Jane,2,1,2,Merged,36,12,3,1,2,6,0.9,1,1,3
... (90 more rows)
